Hauptkraftwerk;;;;;;;;Wehr 1;;;;Wehr 2;;;;Wehr 3;;;;Wehr4;;;;;;;;;;;;;
Gesamt Zufluss gemittelt (m3/s);Niv See (m.Å.M.);Durchfluss HKW  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Durchfluss M1;Durchfluss M2;Durchfluss Grundabl.;Niv Wehr 1 (m.Å.M.);Durchfluss Wehr 1  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 2 (m.Å.M.);Durchfluss Wehr 2  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 3 (m.Å.M.);Durchfluss Wehr 3  (m3/s);Leistung M1 (kW);Leistung M2 (kW);Niv Wehr 4 (m.Å.M.);Durchfluss Wehr 4  (m3/s);Leistung M1 (kW);Durchfluss Maschine (m3/s);Durchfluss Flachschieber (m3/s);Durchfluss Grundabl. 1 & 2 (m3/s);Pegel H. G. (NullPegel 263,00 m.Å.M);Durchfluss Heiderscheider Grund (m3/s);Gesamt Produktion (kWh);;Strompreis (?/kwh);;Gewinn          (?);Gesamt Gewinn Woche 02-2011
314,84;0;0;0;0;0;0;276,05;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,8;1;0;0;1;0;27;0,597;0;0;28,91;0,384237108;0;;
314,84;0;0;0;0;0;0;276,05;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,8;1;0;0;1;0;27;0,597;0;0;28,91;0,384237108;0;;
314,84;0;0;0;0;0;0;276,05;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,79;1;0;0;1;0;27;0,597;0;0;28,91;0,384237108;0;;
314,83;0;0;0;0;0;0;276,04;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,78;1;0;0;1;0;27;0,597;0;0;28,91;0,384237108;0;;
314,84;0;0;0;0;0;0;276,04;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,78;1;0;0;1;0;27;0,597;0;0;15,8;0,209994684;0;;
314,84;0;0;0;0;0;0;276,03;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,77;1;0;0;1;0;27;0,597;0;0;15,8;0,209994684;0;;
314,83;0;0;0;0;0;0;276,03;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,76;1;0;0;1;0;27;0,597;0;0;15,8;0,209994684;0;;
314,84;0;0;0;0;0;0;276,03;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,76;1;0;0;1;0;27;0,597;0;0;15,8;0,209994684;0;;
314,84;0;0;0;0;0;0;276,02;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,75;1;0;0;1;0;27;0,597;0;0;10,39;0,138091441;0;;
314,83;0;0;0;0;0;0;276,02;0;0;0;273,66;0,5;0;0;271,06;0;0;0;269,75;1;0;0;1;0;27;0,597;0;0;10,39;0,138091441;0;;
